            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03273558+2431431    14.99   13.61   11.83   10.78   10.07    9.89    7.26
   03274206+2348132    10.96   10.30  -99.00    9.07    8.75    8.68  -99.00
   03284046+2536280    12.59   11.75  -99.00   10.20    9.88    9.72  -99.00
   03284876+2629576    12.90   12.02   11.06   10.43   10.01    9.92    6.48
   03292540+2539082     9.90    9.43  -99.00    8.46    8.31    8.27  -99.00
   03293837+2430379    13.04   12.16   11.11   10.32    9.86    9.70  -99.00
   03303350+2612567    14.40   13.22   11.89   11.01   10.40   10.28    4.82
   03311190+2509543    15.94   14.51   12.65   11.49   10.78   10.60    8.03
   03311462+2558521    16.85   15.34   13.20   11.99   11.29   11.09    2.41
   03313361+2615558    11.45   10.77  -99.00    9.51    9.22    9.07    3.24
   03320046+2346296    15.27   13.95  -99.00   11.33   10.69   10.52    8.37
   03321528+2641547    18.27   16.75   14.14   12.63   11.97   11.73    0.44
   03325142+2534463    15.25   13.93   12.28   11.15   10.48   10.32    2.09
   03330036+2559458    14.23   13.06   11.74   10.86   10.25   10.13    9.08
   03330582+2208032    12.25   11.43  -99.00    9.90    9.52    9.43  -99.00
   03331049+2231193    17.09   15.55   13.36   12.12   11.45   11.25  -99.00
   03331390+2300233    12.93   11.98  -99.00   10.26    9.79    9.67    7.06
   03340180+2452514    11.58   10.88  -99.00    9.58    9.27    9.18    4.33
   03340731+2420402    10.08    9.57  -99.00    8.55    8.31    8.27  -99.00
   03342211+2723458    18.58   16.88   14.24   12.68   11.97   11.76  -99.00
   03344438+2605456    14.64   13.45   12.05   11.14   10.56   10.37  -99.00
   03344635+2755328    18.25   16.65   14.03   12.53   11.86   11.62  -99.00
   03344722+2605415    11.14   10.48  -99.00    9.24    8.95    8.83  -99.00
   03345493+2204466    17.56   16.17   13.77   12.40   11.80   11.57    0.83
   03350940+2414202    16.81   15.28   13.14   11.91   11.23   11.03    1.51
   03353168+2249250    10.40    9.86  -99.00    8.83    8.60    8.54  -99.00
   03354967+2504484    18.02   16.45   14.00   12.60   11.95   11.69    1.74
   03355604+2521597    17.76   16.25   13.76   12.40   11.75   11.52    0.37
   03360098+2415578    12.06   11.29  -99.00    9.79    9.49    9.39  -99.00
   03361075+2615524    10.74   10.21    9.52    9.04    8.78    8.71  -99.00
   03361630+2508491    17.91   16.35   13.70   12.16   11.57   11.31    0.39
   03361762+2153391    11.65   10.96  -99.00    9.64    9.31    9.25    4.25
   03362432+2237256    15.49   14.14   12.37   11.35   10.70   10.56   11.28
   03363030+2400440    13.26   12.29  -99.00   10.47   10.03    9.90    7.41
   03364066+2749566    15.31   13.97   12.34   11.35   10.68   10.54    8.48
   03365252+2315453    14.88   13.66   12.25   11.38   10.76   10.62  -99.00
   03370346+2444356   -99.00   16.00   13.60   12.31   11.68   11.44    0.21
   03371230+2128054    13.49   12.45  -99.00   10.56   10.07    9.95    7.26
   03371651+2311045   -99.00   17.90   15.20   13.44   12.77   12.55  -99.00
   03371670+2544114   -99.00   18.20   15.30   13.66   13.02   12.77  -99.00
   03372404+2221035     9.71    9.20  -99.00    8.14    7.95    7.90  -99.00
   03372659+2641278    16.69   15.24   13.32   12.19   11.47   11.30  -99.00
   03373067+2450547   -99.00   18.90   15.70   13.83   13.26   12.97  -99.00
   03373490+2414117    11.20   10.59  -99.00    9.36    9.12    9.02  -99.00
   03373599+2632488    16.47   15.07   12.99   11.74   11.04   10.84    0.32
   03373768+2621045   -99.00   18.10   15.20   13.58   13.01   12.71  -99.00
   03374707+2803578    14.54   13.35   11.97   11.09   10.48   10.35  -99.00
   03374749+2453463   -99.00   19.20   15.90   14.15   13.57   13.29  -99.00
   03375641+2322569   -99.00   17.40   14.60   12.98   12.34   12.07  -99.00
   03380203+2420154   -99.00   17.60   14.80   13.11   12.53   12.26    1.31
   03380879+2114493    16.47   14.99   12.97   11.80   11.14   10.93    1.73
   03380929+2735096    15.39   14.03   12.33   11.24   10.63   10.47    7.83
   03381302+2438171   -99.00   18.30   15.30   13.68   13.08   12.79    0.38
   03382258+2229589    10.67   10.10  -99.00    9.02    8.77    8.70    2.30
   03382337+2306292   -99.00   15.30   13.30   11.90   11.25   11.04    3.77
   03382478+2615238   -99.00   17.60   14.50   13.09   12.49   12.22    1.79
   03382703+2716145    17.79   16.29   13.75   12.40   11.77   11.53  -99.00
   03383419+2343074   -99.00   19.10   15.80   14.02   13.42   13.08  -99.00
   03383447+2340224   -99.00   18.90   15.80   14.02   13.43   13.10  -99.00
   03384329+2522273   -99.00   16.40   13.80   12.16   11.54   11.32    0.50
   03384573+2428040   -99.00   19.70   15.80   14.03   13.41   13.10  -99.00
   03384867+2511196   -99.00   14.10  -99.00   11.04   10.38   10.23    0.44
   03385289+2514112   -99.00   15.50  -99.00   11.42   10.77   10.61    6.77
   03385388+2425078   -99.00   15.80   13.96   12.94   12.37   12.08  -99.00
   03385415+2442158   -99.00   20.40   16.00   14.02   13.39   13.09  -99.00
   03385686+2434112    11.19   10.54  -99.00    9.36    9.05    9.04    2.99
   03390329+2629311   -99.00   16.90   14.30   13.17   12.57   12.35  -99.00
   03390811+2446145   -99.00   16.20   13.60   12.09   11.52   11.24    0.72
   03391331+2543497   -99.00   17.10   14.10   12.63   12.02   11.76  -99.00
   03391346+2427594    11.02   10.40  -99.00    9.23    9.00    8.90    2.65
   03392241+2611362   -99.00   18.20   14.90   13.60   12.97   12.73  -99.00
   03392780+2353420    12.42   11.56  -99.00    9.96    9.56    9.48    5.67
